1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.000,0.000,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.020,0.408,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.041,0.816,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.061,1.224,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.082,1.633,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.102,2.041,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.122,2.449,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.143,2.857,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.163,3.265,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.184,3.673,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.204,4.082,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.224,4.490,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.245,4.898,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.265,5.306,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.286,5.714,1.000
1.000,0.000,0.000,0.000,0.000,0.999,-0.050,0.000,0.000,0.050,0.999,0.000,0.000,1.306,6.122,1.000
